N = 694, log(prod) = 2.57e-308 x 2^-0, diff 2.02054
N = 1416, log(prod) = 5.59e-308 x 2^-1000, diff 1.01012
N = 2072, log(prod) = 4.55e-308 x 2^-2000, diff 0.67248
N = 2747, log(prod) = 2.91e-308 x 2^-3000, diff 0.50080
N = 3443, log(prod) = 6.41e-308 x 2^-4000, diff 0.40016
N = 4105, log(prod) = 2.42e-308 x 2^-5000, diff 0.32828
N = 4785, log(prod) = 2.57e-308 x 2^-6000, diff 0.27886
N = 5462, log(prod) = 8.01e-308 x 2^-7000, diff 0.24114
N = 6207, log(prod) = 6.32e-308 x 2^-8000, diff 0.22059
N = 6883, log(prod) = 7.71e-308 x 2^-9000, diff 0.19640
N = 7603, log(prod) = 3.87e-309 x 2^-10000, diff 0.18173
N = 8307, log(prod) = 5.16e-308 x 2^-11000, diff 0.16732
N = 8967, log(prod) = 8.29e-308 x 2^-12000, diff 0.15126
N = 9674, log(prod) = 5.47e-309 x 2^-13000, diff 0.14192
N = 10361, log(prod) = 7.92e-308 x 2^-14000, diff 0.13165
N = 11045, log(prod) = 4.80e-308 x 2^-15000, diff 0.12272
N = 11735, log(prod) = 3.11e-308 x 2^-16000, diff 0.11527
N = 12458, log(prod) = 5.50e-308 x 2^-17000, diff 0.11093
N = 13184, log(prod) = 5.47e-308 x 2^-18000, diff 0.10732
N = 13872, log(prod) = 2.44e-308 x 2^-19000, diff 0.10168
N = 14532, log(prod) = 5.54e-308 x 2^-20000, diff 0.09472
N = 15242, log(prod) = 5.77e-309 x 2^-21000, diff 0.09157
N = 15945, log(prod) = 6.87e-308 x 2^-22000, diff 0.08799
N = 16608, log(prod) = 8.30e-308 x 2^-23000, diff 0.08265
N = 17299, log(prod) = 8.05e-308 x 2^-24000, diff 0.07923
N = 17952, log(prod) = 3.23e-308 x 2^-25000, diff 0.07416
N = 18614, log(prod) = 3.27e-308 x 2^-26000, diff 0.06985
N = 19346, log(prod) = 5.83e-308 x 2^-27000, diff 0.06919
N = 20084, log(prod) = 4.74e-308 x 2^-28000, diff 0.06889
N = 20755, log(prod) = 1.14e-308 x 2^-29000, diff 0.06566
N = 21432, log(prod) = 3.53e-308 x 2^-30000, diff 0.06278
N = 22071, log(prod) = 7.42e-308 x 2^-31000, diff 0.05848
N = 22766, log(prod) = 3.66e-308 x 2^-32000, diff 0.05680
N = 23473, log(prod) = 2.28e-308 x 2^-33000, diff 0.05570
N = 24163, log(prod) = 5.66e-308 x 2^-34000, diff 0.05394
N = 24829, log(prod) = 7.84e-311 x 2^-35000, diff 0.05167
N = 25548, log(prod) = 3.53e-308 x 2^-36000, diff 0.05099
N = 26256, log(prod) = 8.02e-309 x 2^-37000, diff 0.05024
N = 26958, log(prod) = 2.47e-308 x 2^-38000, diff 0.04921
N = 27664, log(prod) = 8.00e-308 x 2^-39000, diff 0.04838
N = 28361, log(prod) = 3.95e-308 x 2^-40000, diff 0.04735
N = 28983, log(prod) = 3.57e-308 x 2^-41000, diff 0.04388
N = 29702, log(prod) = 7.99e-309 x 2^-42000, diff 0.04374
N = 30378, log(prod) = 7.36e-308 x 2^-43000, diff 0.04213
N = 31087, log(prod) = 1.61e-308 x 2^-44000, diff 0.04173
N = 31752, log(prod) = 6.95e-308 x 2^-45000, diff 0.03992
N = 32460, log(prod) = 6.84e-308 x 2^-46000, diff 0.03951
N = 33132, log(prod) = 9.04e-309 x 2^-47000, diff 0.03813
N = 33887, log(prod) = 1.17e-308 x 2^-48000, diff 0.03910
N = 34560, log(prod) = 4.74e-308 x 2^-49000, diff 0.03771
N = 35279, log(prod) = 4.08e-308 x 2^-50000, diff 0.03768
N = 35967, log(prod) = 6.84e-308 x 2^-51000, diff 0.03681
N = 36713, log(prod) = 3.56e-308 x 2^-52000, diff 0.03751
N = 37416, log(prod) = 8.37e-308 x 2^-53000, diff 0.03705
N = 38169, log(prod) = 7.59e-308 x 2^-54000, diff 0.03789
N = 38870, log(prod) = 7.01e-308 x 2^-55000, diff 0.03741
N = 39596, log(prod) = 8.65e-308 x 2^-56000, diff 0.03755
N = 40286, log(prod) = 5.64e-308 x 2^-57000, diff 0.03684
N = 41041, log(prod) = 6.05e-308 x 2^-58000, diff 0.03767
